,S_INFO_WINDCODE,S_INFO_NAME,S_INFO_LISTDATE,S_INFO_DELISTDATE,S_INFO_LISTBOARDNAME,INDUSTRIESCODE,INDUSTRIESNAME
101,688122.SH,西部超导,20190722,,科创板,b10c000000000000,国防军工
102,688180.SH,君实生物-U,20200715,,科创板,b10i000000000000,医药
103,688185.SH,康希诺,20200813,,科创板,b10i000000000000,医药
104,688256.SH,寒武纪-U,20200720,,科创板,b10p000000000000,电子
105,688390.SH,固德威,20200904,,科创板,b10b000000000000,电力设备及新能源
106,688777.SH,中控技术,20201124,,科创板,b10r000000000000,计算机
107,688819.SH,天能股份,20210118,,科创板,b10b000000000000,电力设备及新能源
108,000401.SZ,冀东水泥,19960614,,主板,b108000000000000,建材
109,000997.SZ,新大陆,20000807,,主板,b10r000000000000,计算机
110,000547.SZ,航天发展,19931130,,主板,b10c000000000000,国防军工
111,600376.SH,首开股份,20010312,,主板,b10n000000000000,房地产
112,600764.SH,中国海防,19961104,,主板,b10c000000000000,国防军工
113,600956.SH,新天绿能,20200629,,主板,b104000000000000,电力及公用事业
114,002505.SZ,鹏都农牧,20101118,,主板,b10k000000000000,农林牧渔
115,601717.SH,郑煤机,20100803,,主板,b10a000000000000,机械
116,002244.SZ,滨江集团,20080529,,主板,b10n000000000000,房地产
117,600967.SH,内蒙一机,20040518,,主板,b10c000000000000,国防军工
118,000540.SZ,中天金融,19940202,,主板,b10n000000000000,房地产
119,000709.SZ,河钢股份,19970416,,主板,b105000000000000,钢铁
120,002299.SZ,圣农发展,20091021,,主板,b10k000000000000,农林牧渔
121,002468.SZ,申通快递,20100908,,主板,b10o000000000000,交通运输
122,002683.SZ,广东宏大,20120612,,主板,b106000000000000,基础化工
123,002705.SZ,新宝股份,20140121,,主板,b10g000000000000,家电
124,002966.SZ,苏州银行,20190802,,主板,b10l000000000000,银行
125,002985.SZ,北摩高科,20200429,,主板,b10c000000000000,国防军工
126,300146.SZ,汤臣倍健,20101215,,创业板,b10j000000000000,食品饮料
127,300463.SZ,迈克生物,20150528,,创业板,b10i000000000000,医药
128,300699.SZ,光威复材,20170901,,创业板,b10c000000000000,国防军工
129,600038.SH,中直股份,20001218,,主板,b10c000000000000,国防军工
130,600131.SH,国网信通,19980402,,主板,b10r000000000000,计算机
131,600170.SH,上海建工,19980623,,主板,b107000000000000,建筑
132,600372.SH,中航电子,20010706,,主板,b10c000000000000,国防军工
133,600398.SH,海澜之家,20001228,,主板,b10h000000000000,纺织服装
134,600516.SH,方大炭素,20020830,,主板,b105000000000000,钢铁
135,600517.SH,国网英大,20031010,,主板,b10b000000000000,电力设备及新能源
136,600546.SH,山煤国际,20030731,,主板,b102000000000000,煤炭
137,600556.SH,天下秀,20010807,,主板,b10s000000000000,传媒
138,600867.SH,通化东宝,19940824,,主板,b10i000000000000,医药
139,600871.SH,石化油服,19950411,,主板,b101000000000000,石油石化
140,600928.SH,西安银行,20190301,,主板,b10l000000000000,银行
141,600968.SH,海油发展,20190626,,主板,b101000000000000,石油石化
142,601298.SH,青岛港,20190121,,主板,b10o000000000000,交通运输
143,601456.SH,国联证券,20200731,,主板,b10m000000000000,非银行金融
144,601778.SH,晶科科技,20200519,,主板,b104000000000000,电力及公用事业
145,601828.SH,美凯龙,20180117,,主板,b10e000000000000,商贸零售
146,601992.SH,金隅集团,20110301,,主板,b10t000000000000,综合
147,601997.SH,贵阳银行,20160816,,主板,b10l000000000000,银行
148,603589.SH,口子窖,20150629,,主板,b10j000000000000,食品饮料
149,603638.SH,艾迪精密,20170120,,主板,b10a000000000000,机械
150,603719.SH,良品铺子,20200224,,主板,b10j000000000000,食品饮料
151,603927.SH,中科软,20190909,,主板,b10r000000000000,计算机
152,688002.SH,睿创微纳,20190722,,科创板,b10p000000000000,电子
153,688029.SH,南微医学,20190722,,科创板,b10i000000000000,医药
154,688088.SH,虹软科技,20190722,,科创板,b10r000000000000,计算机
155,688099.SH,晶晨股份,20190808,,科创板,b10p000000000000,电子
156,688321.SH,微芯生物,20190812,,科创板,b10i000000000000,医药
157,000027.SZ,深圳能源,19930903,,主板,b104000000000000,电力及公用事业
158,000039.SZ,中集集团,19940408,,主板,b10a000000000000,机械
159,000729.SZ,燕京啤酒,19970716,,主板,b10j000000000000,食品饮料
160,000778.SZ,新兴铸管,19970606,,主板,b105000000000000,钢铁
161,002815.SZ,崇达技术,20161012,,主板,b10p000000000000,电子
162,300058.SZ,蓝色光标,20100226,,创业板,b10s000000000000,传媒
163,300376.SZ,易事特,20140127,,创业板,b10b000000000000,电力设备及新能源
164,600126.SH,杭钢股份,19980311,,主板,b105000000000000,钢铁
165,600582.SH,天地科技,20020515,,主板,b10a000000000000,机械
166,600642.SH,申能股份,19930416,,主板,b104000000000000,电力及公用事业
167,600648.SH,外高桥,19930504,,主板,b10n000000000000,房地产
168,600839.SH,四川长虹,19940311,,主板,b10g000000000000,家电
169,601928.SH,凤凰传媒,20111130,,主板,b10s000000000000,传媒
170,603000.SH,人民网,20120427,,主板,b10s000000000000,传媒
171,603228.SH,景旺电子,20170106,,主板,b10p000000000000,电子
172,603444.SH,吉比特,20170104,,主板,b10s000000000000,传媒
173,603515.SH,欧普照明,20160819,,主板,b10g000000000000,家电
174,600325.SH,华发股份,20040225,,主板,b10n000000000000,房地产
175,002368.SZ,太极股份,20100312,,主板,b10r000000000000,计算机
176,000686.SZ,东北证券,19970227,,主板,b10m000000000000,非银行金融
177,000738.SZ,航发控制,19970626,,主板,b10c000000000000,国防军工
178,000750.SZ,国海证券,19970709,,主板,b10m000000000000,非银行金融
179,002110.SZ,三钢闽光,20070126,,主板,b105000000000000,钢铁
180,002174.SZ,游族网络,20070925,,主板,b10s000000000000,传媒
181,002212.SZ,天融信,20080201,,主板,b10r000000000000,计算机
182,002399.SZ,海普瑞,20100506,,主板,b10i000000000000,医药
183,002465.SZ,海格通信,20100831,,主板,b10c000000000000,国防军工
184,002831.SZ,裕同科技,20161216,,主板,b109000000000000,轻工制造
185,300418.SZ,昆仑万维,20150121,,创业板,b10s000000000000,传媒
186,600021.SH,上海电力,20031029,,主板,b104000000000000,电力及公用事业
187,600167.SH,联美控股,19990128,,主板,b104000000000000,电力及公用事业
188,600258.SH,首旅酒店,20000601,,主板,b10f000000000000,消费者服务
189,600350.SH,山东高速,20020318,,主板,b10o000000000000,交通运输
190,600528.SH,中铁工业,20010528,,主板,b107000000000000,建筑
191,600827.SH,百联股份,19940204,,主板,b10e000000000000,商贸零售
192,600895.SH,张江高科,19960422,,主板,b10n000000000000,房地产
193,601098.SH,中南传媒,20101028,,主板,b10s000000000000,传媒
194,601179.SH,中国西电,20100128,,主板,b10b000000000000,电力设备及新能源
195,601608.SH,中信重工,20120706,,主板,b10a000000000000,机械
196,603056.SH,德邦股份,20180116,,主板,b10o000000000000,交通运输
197,603885.SH,吉祥航空,20150527,,主板,b10o000000000000,交通运输
198,002390.SZ,信邦制药,20100416,,主板,b10i000000000000,医药
199,300001.SZ,特锐德,20091030,,创业板,b10b000000000000,电力设备及新能源
200,600329.SH,达仁堂,20010606,,主板,b10i000000000000,医药
201,600572.SH,康恩贝,20040412,,主板,b10i000000000000,医药
202,600006.SH,东风汽车,19990727,,主板,b10d000000000000,汽车
203,000937.SZ,冀中能源,19990909,,主板,b102000000000000,煤炭
204,600297.SH,广汇汽车,20001116,,主板,b10d000000000000,汽车
205,002408.SZ,齐翔腾达,20100518,,主板,b101000000000000,石油石化
206,600348.SH,华阳股份,20030821,,主板,b102000000000000,煤炭
207,002128.SZ,电投能源,20070418,,主板,b102000000000000,煤炭
208,300026.SZ,红日药业,20091030,,创业板,b10i000000000000,医药
209,002191.SZ,劲嘉股份,20071205,,主板,b109000000000000,轻工制造
210,600195.SH,中牧股份,19990107,,主板,b10k000000000000,农林牧渔
211,601880.SH,辽港股份,20101206,,主板,b10o000000000000,交通运输
212,603568.SH,伟明环保,20150528,,主板,b104000000000000,电力及公用事业
